dataset,mert_layer,saved_layer_index,fold,num_train,num_validation,num_test,train_accuracy,train_macro_f1,train_weighted_f1,validation_accuracy,validation_macro_f1,validation_weighted_f1,test_accuracy,test_macro_f1,test_weighted_f1
eastern,3,3,3,339,112,112,1.0,1.0,1.0,0.9107142857142857,0.8587256916525209,0.9152225907561273,0.8839285714285714,0.8431453321037292,0.884712087359769
eastern,3,3,4,338,113,112,1.0,1.0,1.0,0.8849557522123894,0.8373103860908737,0.8855923796567009,0.9553571428571429,0.9311021456079223,0.9559531450577664
eastern,3,3,5,337,113,113,1.0,1.0,1.0,0.9026548672566371,0.8602697818077447,0.8999963244749134,0.8938053097345132,0.8473325590398761,0.892152433028755
eastern,4,4,1,337,113,113,1.0,1.0,1.0,0.9292035398230089,0.8881609214768048,0.9291262449026743,0.9026548672566371,0.8520495377638236,0.9011345586566827
eastern,4,4,2,338,112,113,1.0,1.0,1.0,0.9017857142857143,0.874246067531004,0.9018624180262113,0.9292035398230089,0.8840882397725441,0.928247388469556
eastern,4,4,3,339,112,112,1.0,1.0,1.0,0.9285714285714286,0.8801815952185568,0.927702379290401,0.8928571428571429,0.8587895396887185,0.896270426966012
eastern,4,4,4,338,113,112,1.0,1.0,1.0,0.8584070796460177,0.8071368487972032,0.8575028448619605,0.9553571428571429,0.9311021456079223,0.9559531450577664
eastern,4,4,5,337,113,113,1.0,1.0,1.0,0.911504424778761,0.8672167256884865,0.9088292786996224,0.911504424778761,0.8604625033196461,0.9078965185159876
eastern,5,5,1,337,113,113,1.0,1.0,1.0,0.9469026548672567,0.9276036832859306,0.9468652199535571,0.911504424778761,0.864438233079348,0.9104661652470847
eastern,5,5,2,338,112,113,1.0,1.0,1.0,0.9464285714285714,0.9233550517974096,0.9470027674132858,0.9380530973451328,0.9110844440112732,0.9382115582093998
eastern,5,5,3,339,112,112,1.0,1.0,1.0,0.9375,0.9044100838886372,0.9374992683234904,0.9196428571428571,0.8904167904167904,0.9197412384912386
eastern,5,5,4,338,113,112,1.0,1.0,1.0,0.8672566371681416,0.8055777984576651,0.8671315108687832,0.9553571428571429,0.9435520008180107,0.9551676771504358
eastern,5,5,5,337,113,113,1.0,1.0,1.0,0.9026548672566371,0.8574829931972789,0.9016224188790561,0.911504424778761,0.8604625033196461,0.9078965185159876
eastern,6,6,1,337,113,113,1.0,1.0,1.0,0.9292035398230089,0.9050412828608316,0.9291862332151106,0.911504424778761,0.8633294024271467,0.9096839660882511
eastern,6,6,2,338,112,113,1.0,1.0,1.0,0.9642857142857143,0.9403611686220382,0.9647026685070162,0.9203539823008849,0.887121483362085,0.9199252488959055
eastern,6,6,3,339,112,112,1.0,1.0,1.0,0.9464285714285714,0.91698639646495,0.9464736272978493,0.9285714285714286,0.8957464040301949,0.928319793221874
eastern,6,6,4,338,113,112,1.0,1.0,1.0,0.8672566371681416,0.7982163597146175,0.8612752202111149,0.9375,0.9162774607725728,0.9379104031207159
eastern,6,6,5,337,113,113,1.0,1.0,1.0,0.9203539823008849,0.8836303643146687,0.9196358115437119,0.911504424778761,0.8613142407927941,0.9100241779164351
eastern,7,7,1,337,113,113,1.0,1.0,1.0,0.9292035398230089,0.8959616649597415,0.9289670977196026,0.9026548672566371,0.862736716308145,0.9022949624719536
eastern,7,7,2,338,112,113,1.0,1.0,1.0,0.9464285714285714,0.9139194139194139,0.9458562271062271,0.9380530973451328,0.9109276513542993,0.9374795292408836
eastern,7,7,3,339,112,112,1.0,1.0,1.0,0.9464285714285714,0.9175896758597201,0.9447363791251527,0.9107142857142857,0.8673652096552117,0.9093498139258076
eastern,7,7,4,338,113,112,1.0,1.0,1.0,0.8761061946902655,0.8239715224263019,0.8745550296240524,0.9375,0.9196493521647885,0.9370255530566592
eastern,7,7,5,337,113,113,1.0,1.0,1.0,0.9026548672566371,0.8669454783137246,0.9016123969111912,0.9026548672566371,0.8522380192451081,0.8994070535263029
eastern,8,8,1,337,113,113,1.0,1.0,1.0,0.9469026548672567,0.9210556583189101,0.9471164638127815,0.9203539823008849,0.8869480003200934,0.9192739528199498
eastern,8,8,2,338,112,113,1.0,1.0,1.0,0.9196428571428571,0.8837827068866624,0.9202578980897059,0.911504424778761,0.8778524209368763,0.9107105720541451
eastern,8,8,3,339,112,112,1.0,1.0,1.0,0.9464285714285714,0.9173757974313748,0.9444791599285509,0.8839285714285714,0.8327276186784971,0.879089644707251
eastern,8,8,4,338,113,112,1.0,1.0,1.0,0.8584070796460177,0.8052873916013176,0.8562267060646845,0.9375,0.9180395128267544,0.9380679240280363
eastern,8,8,5,337,113,113,1.0,1.0,1.0,0.911504424778761,0.8766751244325995,0.9107920651756832,0.8938053097345132,0.8449209460743762,0.8903416531377859
eastern,9,9,1,337,113,113,1.0,1.0,1.0,0.911504424778761,0.8685592185592185,0.9107307638281089,0.9203539823008849,0.877980705093581,0.9181043464681069
eastern,9,9,2,338,112,113,1.0,1.0,1.0,0.9464285714285714,0.9279292952879094,0.9460945161817588,0.911504424778761,0.8778524209368763,0.9107105720541451
eastern,9,9,3,339,112,112,1.0,1.0,1.0,0.9375,0.8946463284802826,0.9354986556957001,0.9107142857142857,0.8687985099410965,0.9092378911758695
eastern,9,9,4,338,113,112,1.0,1.0,1.0,0.8584070796460177,0.8151268113674127,0.8585740709634515,0.9375,0.9149981601540915,0.9382428153118328
eastern,9,9,5,337,113,113,1.0,1.0,1.0,0.911504424778761,0.8743296804783812,0.912017056972986,0.8938053097345132,0.8567740787986524,0.8924282199481854
eastern,10,10,1,337,113,113,1.0,1.0,1.0,0.9026548672566371,0.8591441079245958,0.9013351423021183,0.9026548672566371,0.8558306600167065,0.9005498008626224
eastern,10,10,2,338,112,113,1.0,1.0,1.0,0.9285714285714286,0.9117720402143981,0.9280832134608371,0.9203539823008849,0.8848722705865564,0.9194077309121556
eastern,10,10,3,339,112,112,1.0,1.0,1.0,0.9375,0.9077284844195813,0.936545228170844,0.8839285714285714,0.8460636980364435,0.8792946018538158
eastern,10,10,4,338,113,112,1.0,1.0,1.0,0.8230088495575221,0.7654189013383854,0.8182991824263933,0.9553571428571429,0.9378100789865496,0.955654288742524
